feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,is_anomaly
0.2684327214907372,0.1715740968263426,0.21988112679887098,0.17445436917147228,0.299520814719201,0.20183247989183853,0.2832961254987146,0.4109295192102293,0.3280674123257742,0.20092809473833756,0.20261161370974387,0.27945861390403465,0.09466084919924943,0.15477919612313773,0.25682229130361134,0.24201941897528972,0.36213807333489284,0.19602595530113737,0.17379603994913556,0.18167226853746957,0
0.24776600101651441,0.2235783925456628,0.4251944452887764,0.18519425834656222,0.24460479451938683,0.30733261688001157,0.23937098201244084,0.28986935923448254,0.2619232072789266,0.29029180839346436,0.13028215515865238,0.3050301810579406,0.20085154590019863,0.23290997378350617,0.19466035233778387,0.3626689767256366,0.09402104241423587,0.3698323082791646,0.20470952151209282,0.3860913160754225,0
0.3502825190089468,0.30536459556752277,0.31484121740404003,0.3959911387030346,0.20022799131379498,0.18814799147718023,0.1996672409068887,0.3206249179705648,0.13282343638108773,0.30247108945448553,0.20656373712812676,0.1689818863307968,0.135673737367154,0.15964246792129505,0.11696335514353694,0.2852118605732915,0.28919774812818416,0.33187602912012115,0.20912368780562487,0.28288845512009564,0
0.2470157220833248,0.282865974745389,0.28467865384298685,0.22389864268810475,0.11389435059277503,0.22187453713322858,0.2552301312550848,0.18580503712513743,0.21131552144624297,0.14071772445946662,0.20433783621487447,0.2831253093968406,0.3554035348146425,0.1435633814326153,0.22029238933200881,0.18538344025767262,0.2256153402209079,0.23002564680010182,0.3317732021362693,0.3391943670971912,0
0.2604005885667147,0.22680149434367675,0.3430418792552292,0.230977811162879,0.3445104493341018,0.10252720179076949,0.37632349722437886,0.19221719355899664,0.1490373855327708,0.22854482782045293,0.14692096208128808,0.2877002934177247,0.17834467970975587,0.24036936319590724,0.152915076464353,0.23538112618642756,0.2383740063910023,0.2330704397988153,0.3955370293419828,0.30637471288509227,0
0.2638702925604889,0.1056314776189996,0.27943161895744734,0.31452035600193134,0.19373505824137088,0.21929031654681364,0.027939903243140413,0.1399595970474814,0.07301026028865898,0.23896774647522773,0.21598152084544056,0.2387552948219581,0.18012725042515199,0.2948595875327105,0.13486058623628217,0.24541483901648684,0.2720018645935793,0.23384497687927586,0.25414428831271985,0.18712698341650685,0
0.2181271523477592,0.2847314127730074,0.09074027670778084,0.20426087392231726,0.2009619468881646,0.22970442962283227,0.37568656682104734,0.20645706077311937,0.34532928206675007,0.30871201946338245,0.22825606143902805,0.252749364404948,0.22302245909346705,0.1575278806261405,0.26628740349809893,0.20897881148305703,0.2342541965859293,0.06014109330861944,0.1892225560813698,0.30208860623410333,0
0.15116617833579837,0.2579947556694379,0.20975049068705748,0.2950659435213936,0.3268459972805523,0.24986860152643725,0.24611828724514326,0.24699365481847185,0.23019433234392206,0.31510739474714045,0.39690721002605733,0.14970523146689052,0.1390965498665317,0.3204771546542097,0.14125853279174094,0.15760812240961003,0.3742730858975388,0.225671976364144,0.2407520981643897,0.2138562041983177,0
0.295942628130215,0.15595033263568311,0.3893103035264654,0.27631431401755,0.23734455018621833,0.19055241580517898,0.2550403101885127,0.3305139192977595,0.4312959188946188,0.3373087783003007,0.2952408042248915,0.2495533645348078,0.2959684770165628,0.1931775960084698,0.24544196796601198,0.32963051041589886,0.2727010409090113,0.19204203057137847,0.13295689410330147,0.2992485189490167,0
0.25800732281134264,0.29945235091840916,0.25422452263136647,0.1867389756747082,0.31290626950066835,0.31645223406441436,0.09435607572509,0.11719812010138975,0.2417228751727236,0.22711068019054367,0.21347716880223977,0.3061968050756568,0.3502992370470963,0.14216803856647475,0.21721501706735094,0.24871244127187656,0.24566984902275363,0.1438953177024106,0.3010588659257405,0.25996423645764016,0
